unit,Fishes (non-tuna),Tuna,Birds,Small Mammal,Hare,Medium mammal,Equid,Cervidae,Bos,Sus scrofa,Caprines,Small Ungulate,Med Ungulate,Large Ungulate,Small Carnivore,Domestic dog
59,2,0,0,0,0,0,0,17,0,1,7,0,0,1,0,1
60,0,0,0,0,3,0,0,7,1,7,8,8,2,8,0,0
61,2,0,0,5,0,0,0,5,1,2,20,0,0,8,0,0
62,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0
63,0,0,0,2,1,0,0,2,1,0,18,0,2,0,0,0
64,3,0,0,0,1,0,0,1,5,1,14,9,2,9,0,1
65,0,0,0,0,0,0,0,0,0,1,7,0,3,0,0,0
66,1,0,0,0,1,0,0,3,3,3,47,0,0,6,0,0
67,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
68,0,0,0,2,0,0,0,0,1,0,6,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,3,28,5,5,6,0,0
70,0,0,0,0,0,0,0,0,2,0,17,0,0,2,0,0
71,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0
72,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0
73,0,0,0,0,3,0,0,1,0,1,20,7,7,1,0,1
74,0,0,0,0,0,1,0,0,1,0,15,0,0,0,0,1
75,0,0,0,1,0,0,0,0,2,1,6,3,1,0,0,0
76,1,0,0,0,0,0,0,0,0,1,6,4,2,3,0,0
77,3,0,0,0,2,0,0,0,0,0,38,0,0,0,0,1
78,0,0,0,1,0,0,0,1,0,0,7,6,2,0,0,0
79,0,1,0,0,0,0,0,0,0,5,5,5,1,2,1,0
80,0,0,0,3,0,0,0,3,0,4,19,0,0,0,0,1
81,0,1,0,0,0,0,0,1,1,1,10,6,1,1,0,0
82,0,1,0,0,0,0,0,1,0,0,17,0,1,0,0,0
83,0,0,0,0,0,0,0,0,0,3,3,5,3,0,0,0
84,3,0,0,0,3,0,0,1,0,1,23,0,0,0,0,0
85,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0
86,6,0,0,0,1,0,0,0,0,12,33,15,1,0,0,0
87,0,0,0,0,0,0,0,0,0,9,59,0,2,0,0,0
88,11,7,0,0,1,0,0,1,1,1,26,23,6,1,1,1
89,11,3,0,3,2,0,0,1,1,12,48,0,0,0,1,0
90,2,1,0,3,0,0,0,0,0,2,62,0,0,0,0,0
91,0,0,0,1,4,0,0,7,0,3,12,9,7,0,0,1
92,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1
93,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
