unit,Fishes (non-tuna),Tuna,Birds,Small Mammal,Hare,Medium mammal,Cervidae,Bos,Sus scrofa,Small Ungulate,Med Ungulate,Large Ungulate,Small carnivore,Domestic dog,Caprines
59,7,0,0,0,0,1,1,0,2,1,0,0,0,0,16
60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
61,4,0,0,3,2,1,2,1,4,0,1,0,0,0,23
62,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5
63,4,0,0,2,0,0,2,0,0,0,1,3,0,0,2
64,0,0,0,0,0,0,3,0,0,0,0,1,0,0,6
65,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
66,4,0,0,0,1,0,1,0,4,0,2,2,0,2,4
67,1,2,0,1,2,0,2,0,5,0,2,11,0,3,17
68,4,0,0,0,0,0,1,4,3,0,1,0,0,0,15
69,7,0,0,1,9,0,5,0,7,0,7,4,0,0,25
70,2,0,0,2,3,0,6,3,4,13,8,9,0,1,26
71,1,0,0,0,1,0,2,2,11,10,3,4,0,1,25
72,0,0,0,3,3,0,4,0,1,9,1,3,0,2,16
73,6,1,0,0,0,0,5,0,10,0,10,2,0,0,41
74,3,0,0,1,1,0,1,1,14,1,8,2,2,1,68
75,2,0,0,1,0,0,0,1,1,0,1,0,2,0,23
76,23,1,0,2,5,0,8,0,20,23,9,12,5,0,139
77,3,0,0,0,4,0,5,1,3,4,3,0,0,0,38
78,1,0,0,0,2,0,2,1,1,0,1,2,0,0,27
79,0,1,0,0,1,0,2,1,9,0,1,1,0,1,26
80,0,0,0,0,0,0,0,1,4,1,0,1,0,0,7
81,4,0,0,1,2,0,3,2,11,9,4,4,2,0,52
82,9,0,0,0,1,0,0,0,4,11,4,1,4,0,43
83,10,4,0,0,2,0,0,1,5,10,2,2,0,0,58
84,12,1,0,2,4,0,0,0,3,2,3,0,0,0,25
85,11,4,0,0,7,0,0,0,4,0,0,0,0,0,9
86,12,1,0,0,2,0,0,0,2,4,0,0,0,0,10
87,9,3,0,0,2,0,0,0,3,1,0,0,0,0,6
88,14,1,0,0,1,0,0,0,5,2,3,1,0,0,5
89,27,0,0,0,3,0,1,0,5,8,6,0,1,0,38
90,7,1,0,3,2,0,0,0,20,5,9,1,1,4,55
91,44,8,0,3,0,0,1,0,19,0,6,0,0,0,78
92,1,0,0,0,0,0,0,0,1,1,2,0,0,1,15
93,4,1,0,0,2,0,0,0,15,0,3,0,0,0,39
94,4,0,0,1,2,0,1,0,11,3,2,0,1,1,33
95,3,0,0,1,0,0,0,0,1,0,1,0,0,0,14
96,2,0,0,0,0,0,0,1,3,0,0,0,0,1,6
97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
98,4,0,0,0,4,0,0,0,2,0,3,0,3,0,64
99,6,0,0,0,3,0,0,1,3,0,1,1,0,0,72
100,1,0,0,0,2,0,0,0,1,7,1,0,0,0,24
101,3,0,0,0,0,0,0,0,5,4,0,0,0,0,18
102,4,1,0,0,2,0,0,0,1,8,2,0,0,0,15
103,5,0,0,0,5,0,0,0,8,16,4,0,1,0,48
104,2,0,0,0,0,0,0,0,4,10,0,0,0,0,40
105,0,0,0,0,0,0,0,0,1,9,8,0,0,0,22
105/106,27,1,0,0,0,0,0,0,3,5,0,0,1,1,10
106,0,0,0,0,0,0,0,0,1,2,0,0,0,0,12
107,2,0,0,0,3,0,0,0,4,10,0,0,0,0,51
108,4,0,0,0,0,0,0,0,0,2,0,0,0,0,13
109,19,0,0,1,3,0,0,1,9,19,6,2,2,0,54
110,6,0,0,0,0,0,1,0,2,1,0,0,0,0,6
111,11,0,0,6,1,0,1,0,4,4,1,0,0,1,11
112,1,0,0,0,3,0,0,2,6,16,4,1,0,1,55
114,0,0,0,0,0,0,0,0,0,5,1,0,0,0,13
115,0,0,0,0,3,0,0,0,14,31,6,0,1,4,84
117,8,2,1,7,34,1,0,0,89,0,22,6,6,14,309
118,73,0,0,0,6,0,2,0,13,31,6,0,4,0,22
119,2,0,0,0,2,0,0,0,8,5,0,0,0,0,9
120,14,0,0,0,8,0,5,0,13,0,0,0,1,0,74
121,11,0,0,1,3,0,4,0,2,3,1,0,0,0,39
122,12,0,0,4,16,0,5,1,4,11,5,2,4,0,51
123,293,44,0,2,14,0,7,4,12,0,0,4,5,1,89
124,155,7,0,0,8,0,0,3,8,6,2,2,1,1,60
125,2,0,0,0,1,0,1,0,2,4,0,0,1,0,4
126,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
127,4,0,0,0,2,0,0,0,4,6,0,0,0,0,19
129,9,0,0,0,0,0,0,0,1,0,0,0,0,0,3
130,4,2,0,0,3,0,1,0,20,0,3,0,0,0,86
131,1,0,0,0,2,0,3,1,6,4,0,0,2,1,15
132,0,0,0,0,1,0,1,0,3,1,1,0,0,0,5
135,3,0,0,0,1,0,0,3,3,0,3,1,1,0,16
136,3,2,0,0,0,0,0,0,0,0,3,6,0,0,31
137,12,0,0,0,2,0,1,2,0,0,7,4,0,0,22
138,8,0,0,2,2,0,0,2,1,0,4,6,1,0,17
139,13,0,0,0,3,0,0,2,0,0,5,4,4,0,41
140,10,0,0,3,19,1,0,6,7,0,2,6,2,0,228
143,15,0,0,7,4,6,1,0,5,1,0,21,6,0,334
144,17,1,0,4,5,0,3,1,3,0,13,4,2,0,112
145,86,13,1,8,28,3,5,0,4,0,7,6,6,0,197
