Trench,unit,Fish Indet,Tuna,Hare,Small Mammal,Cervidae,Bos,Pig,Caprine,Small Ungulate,Med Ungulate,Large Ungulate,Domestic dog
L5,33,0,0,2,0,1,0,2,8,0,1,0,0
L5,37,0,0,0,0,0,0,1,5,0,1,0,0
L5NE,45,0,2,0,0,1,0,3,2,0,0,0,0
L5NE,48,0,4,0,0,1,0,3,5,0,1,1,0
L5NE,54,0,11,0,0,0,1,0,8,0,0,2,0
L5NE,55,0,8,0,0,0,0,0,4,0,0,1,0
L5NE,56,0,5,0,0,0,0,1,6,0,0,0,0
L5NE,64,0,1,0,0,0,0,0,2,0,0,1,0
Q5N,23,1,2,0,1,0,0,0,2,1,0,0,1
Q5N,25,0,5,0,0,0,0,0,1,0,0,0,0
Q5N,26,0,4,0,0,0,0,0,0,1,0,0,0
Q5N,45,2,7,0,0,0,0,1,13,0,0,0,0
Q5N,47,0,11,0,0,0,0,4,2,0,0,0,0
Q5N,55,2,4,3,0,0,0,0,9,0,0,0,1
Q5N,56,0,10,0,0,0,0,1,2,1,0,0,0
