trench,unit,zone,liters,total flot,Adonis sp.,Alkanna sp.,Anchusa sp.,Astragalus frigonella sp.,Avena sp.,Avena sp. frag.,Boraginaceae sp.,Calendula sp.,Capparis sp.,Celtis sp. tournifortii ,cf. Colchicum/polygonatum,Coriandrum sp.,Cruciferae sp. (+seeds + capsules),culm nodes indet. (+frags),Echium sp.,Erodium sp.,Fumaria sp.,Gallium sp.,glume base indet.,Gramineae indet.,Gramineae indet. frags.,Hordeum vulgare ssp.,Hordeum vulgare ssp. Distichum,Hordeum vulgare ssp. Distichum frag.,Hordeum vulgare ssp. spontaneum,Hordeum vulgare ssp. spontaneum frag.,H. vulgare ssp. Distichum rachis (+frags.),indet. frag.,L. officinale,"Lathyrus (S, M, L)","Leguminosae (S, M, L)",Leguminosae frag.,Lens sp.,lens sp. frag.,Liliaceae sp.,Lithospermum arvense (+cf. apulum),Lithospermum arvense frag.,Malva parviflora,Medicago sp.,cf. Medicago frag.,Monocotylidonae (+ capsules),Phalaris sp.,Pistacia cf. lentiscus,Pistacia cf. lentiscus frags.,Pisum cf. elatius,Pisum/Vicia (+Pisum of all sizes),Polygonum sp.,Prunus amygdalus,Prunus amygdalus frag.,Pyrus amygdaloformis,Pyrus amygdaloformis frag.,rachis frag. indet.,Schoenus nigricans,seed indet.,seed indet. frag,sp. no. 1 ,spikelet fork indet. (+frags),Teucrium sp. ,Triticum sp.,T. cf. aestivum/durum,Triticum turgidum ssp. dicoccum (+terminals),Triticum turgidum ssp. dicoccum frag.,T. turgidum ssp. dicoccum spkt. fks.,T. turgidum ssp. dicoccum terminal spikelet forks,T. turgidum ssp. dicoccum glume bases,Triticum monococcum,Triticum monococcum frag.,Triticum monococcum spkt. fks.,Triticum monococcum spikelet fork,Uthospennum dlicinale,Vicia ervilia,Vicia/Lathyrus sp.,Vitis vinifera ssp. sylvestris,Vitis vinifera ssp. sylvestris frag.,Triticum sp. SUM (no frags.),Hordeum vulgare SUM (no frags)
FAN,120,VII,266,92.6,,2,,,,,,,,,,,,,,,,,1,,,,19,,,,,,,,,1,2,,,3,,,,,,,,,,,,3,,,,,,,,,,,,,4,,,,,,1,,,,,,,,4,19
FAN,121,VII,266,129.7,,,,,,,,,,,,,1,,,,,,,,4,,4,10,,,,,,,,2,3,,,6,,,,,,,,4,,,,3,,,,,,1,,,1,,,,12,4,,,,,2,,,,,,,,12,4
FAN,122,VII,299,149.9,,2,,,,,,,,,,,1,,,,,,7,,5,,8,20,,,,,,1,,,1,,,19,,,,,,,,,,,,7,,,,1,,,,,6,,,,21,3,41,3,2,19,1,4,,,,,,,90,8
FAN,123,VII,202,180.4,,,,,,,,,,,,,,,,,,,,,,,3,6,,,,1,,1,1,,,,,3,,,,,,,,,,,,13,,,,,,,,,3,,,,5,2,,,,,,,,,,1,,,5,3
FAN,124,VII,29,255.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,,,,10,,,,,,,1,,,,,,5,,,,,,,,,,,,,,5,0
FAN,125,VII,79,44.3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,6,,,,,,,,,2,,,,4,,1,,,,,,,,,,,,5,0
FAN,126,VII,29,83.5,,,,,,,,,,,,,,,,,,,,,5,,6,,,,2,,,1,,,,,,6,,,,,,,,,,,,11,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,6
FAN,127,VII,277,1177.6,,,,,,,,,,,,,,,,,,,,7,,,1,4,,,,1,,1,7,,2,,,4,,,,,,,,,,,,10,,,,,,,,,,,,,2,1,13,,,,,,,,,2,,,15,1
FAN,128,VII,63,107.1,,,,,,,,,,,,,5,,,,,,2,,,,2,,,,,,,,1,,,,,3,,,3,,,,5,,,,,12,,,,,,,,,4,,,,14,,,,,,,,,,,1,,,14,2
FAN,129,VII,266,795.2,,1,,,,,,,,,,,10,,,,,,2,,,,5,13,,,,,,1,4,,11,,,5,,,8,,,,1,,,,,14,,1,,,,,,,4,1,,,31,1,2,,,3,,,,,,5,,,36,5
