Row,Unit,Zone,Liters,Tot_Flot_g,species,complete,Frags.,species_group
1,120,VII,266,92.6,Lens sp.,2,,Lens sp.
2,120,VII,266,92.6,Leguminosae,,1,Leguminosae
3,120,VII,266,92.6,Prunus amygdalus,3,,Prunus amygdalus
4,120,VII,266,92.6,Lithospermum arvense,3,,Lithospermum
5,120,VII,266,92.6,Alkanna sp.,2,,Alkanna sp.
6,120,VII,266,92.6,Triticum turgidum ssp. dicoccum,4,,Triticum
7,120,VII,266,92.6,Triticum monococcum,,1,Triticum
8,120,VII,266,92.6,Hordeum vulgare ssp. Distichum,19,,Hordeum vulgare
9,120,VII,266,92.6,glume base indet.,1,,glume base indet.
10,121,VII,266,129.7,Cruciferae sp.,1,,Cruciferae sp.
11,121,VII,266,129.7,Pistacia cf. lentiscus,,4,Pistacia cf. lentiscus
12,121,VII,266,129.7,Lens sp.,3,,Lens sp.
13,121,VII,266,129.7,Leguminosae,,2,Leguminosae
14,121,VII,266,129.7,Prunus amygdalus,3,,Prunus amygdalus
15,121,VII,266,129.7,Lithospermum arvense,6,,Lithospermum
16,121,VII,266,129.7,Triticum turgidum ssp. dicoccum,12,4,Triticum
17,121,VII,266,129.7,Triticum monococcum,,2,Triticum
18,121,VII,266,129.7,Hordeum vulgare ssp. Distichum,4,10,Hordeum vulgare
19,121,VII,266,129.7,spikelet fork indet.,1,,NA
20,121,VII,266,129.7,Gramineae indet.,,4,Gramineae indet.
21,121,VII,266,129.7,seed indet.,1,,NA
22,122,VII,299,149.9,Cruciferae sp.,1,,Cruciferae sp.
23,122,VII,299,149.9,Lens sp.,1,,Lens sp.
24,122,VII,299,149.9,large Lathyrus sp.,1,,Lathyrus sp.
25,122,VII,299,149.9,Prunus amygdalus,7,,Prunus amygdalus
26,122,VII,299,149.9,Lithospermum arvense,19,,Lithospermum
27,122,VII,299,149.9,Alkanna sp.,2,,Alkanna sp.
28,122,VII,299,149.9,Triticum monococcum,19,1,Triticum
29,122,VII,299,149.9,Triticum monococcum,4,,Triticum
30,122,VII,299,149.9,Triticum turgidum ssp. dicoccum,21,3,Triticum
31,122,VII,299,149.9,Triticum turgidum ssp. dicoccum,41,,Triticum
32,122,VII,299,149.9,Triticum turgidum ssp. dicoccum,3,,Triticum
33,122,VII,299,149.9,Hordeum vulgare ssp. Distichum,8,20,Hordeum vulgare
34,122,VII,299,149.9,spikelet fork indet.,6,,NA
35,122,VII,299,149.9,glume base indet.,7,,glume base indet.
36,122,VII,299,149.9,rachis frag. indet.,1,,NA
37,122,VII,299,149.9,Gramineae indet.,,5,Gramineae indet.
38,123,VII,202,180.4,Vicia/Lathyrus sp.,1,,Vicia/Lathyrus sp.
39,123,VII,202,180.4,small Lathyrus sp.,1,,
40,123,VII,202,180.4,Leguminosae,1,,Leguminosae
41,123,VII,202,180.4,Prunus amygdalus,13,,Prunus amygdalus
42,123,VII,202,180.4,Lithospermum arvense,3,,Lithospermum
43,123,VII,202,180.4,Triticum turgidum ssp. dicoccum,5,2,Triticum
44,123,VII,202,180.4,Hordeum vulgare ssp. Distichum,3,6,Hordeum vulgare
45,123,VII,202,180.4,spikelet fork indet.,3,,NA
46,123,VII,202,180.4,indet.,,1,NA
47,124,VII,29,255.6,Lens sp.,1,,Lens sp.
48,124,VII,29,255.6,Prunus amygdalus,10,,Prunus amygdalus
49,124,VII,29,255.6,Lithospermum arvense,3,,Lithospermum
50,124,VII,29,255.6,Triticum turgidum ssp. dicoccum,5,,Triticum
51,124,VII,29,255.6,seed indet.,,1,NA
52,125,VII,79,44.3,Prunus amygdalus,6,,Prunus amygdalus
53,125,VII,79,44.3,Lithospermum arvense,1,,Lithospermum
54,125,VII,79,44.3,Alkanna sp.,1,,Alkanna sp.
55,125,VII,79,44.3,Triticum turgidum ssp. dicoccum,4,,Triticum
56,125,VII,79,44.3,Triticum turgidum ssp. dicoccum,1,,Triticum
57,125,VII,79,44.3,spikelet fork indet.,2,,NA
58,126,VII,29,83.5,small Lathyrus sp.,1,,
59,126,VII,29,83.5,Prunus amygdalus,11,,Prunus amygdalus
60,126,VII,29,83.5,Lithospermum arvense,6,,Lithospermum
61,126,VII,29,83.5,Triticum turgidum ssp. dicoccum,3,,Triticum
62,126,VII,29,83.5,Hordeum vulgare ssp. Distichum,6,,Hordeum vulgare
63,126,VII,29,83.5,Hordeum vulgare ssp. Distichum,2,,Hordeum vulgare
64,126,VII,29,83.5,Gramineae indet.,,5,Gramineae indet.
65,127,VII,227,1177.6,Vicia/Lathyrus sp.,2,,Vicia/Lathyrus sp.
66,127,VII,227,1177.6,Lens sp.,2,,Lens sp.
67,127,VII,227,1177.6,small Lathyrus sp.,1,,
68,127,VII,227,1177.6,Leguminosae,6,,Leguminosae
69,127,VII,227,1177.6,Leguminosae,1,,Leguminosae
70,127,VII,227,1177.6,Prunus amygdalus,10,,Prunus amygdalus
71,127,VII,227,1177.6,Lithospermum arvense,4,,Lithospermum
72,127,VII,227,1177.6,Triticum turgidum ssp. dicoccum,2,1,Triticum
73,127,VII,227,1177.6,Triticum turgidum ssp. dicoccum,13,,Triticum
74,127,VII,227,1177.6,Hordeum vulgare ssp. Distichum,1,4,Hordeum vulgare
75,127,VII,227,1177.6,Gramineae indet.,,7,Gramineae indet.
