Row,Unit,Zone,Liters,Tot_Flot_g,Sort_Flot_pc,species,complete,Frags.,species_group
1,59,0,0,0,0,Leguminosae,2,0,Leguminosae
2,61,0,0,0,0,Alkanna sp.,1,0,Alkanna sp.
3,64,0,0,0,0,Leguminosae,1,0,Leguminosae
4,64,0,0,0,0,Gramineae indet.,1,0,Gramineae indet.
5,66,0,0,0,0,Leguminosae,1,0,Leguminosae
6,66,0,0,0,0,Gramineae indet.,1,0,Gramineae indet.
7,67,0,0,0,0,Leguminosae,1,0,Leguminosae
8,67,0,0,0,0,Triticum turgidum ssp. dicoccum,1,0,Tritirum
9,69,0,0,0,0,Leguminosae,2,0,Leguminosae
10,69,0,0,0,0,Triticum turgidum ssp. dicoccum,1,0,Tritirum
11,69,0,0,0,0,Hordeum vulgare ssp.,1,0,Hordeum vulgare
12,71,0,0,0,0,Lithospermum arvense,1,0,Lithospermum
13,71,0,0,0,0,Alkanna sp.,1,0,Alkanna sp.
14,73,VII,272,102.7,100,Polygonum sp.,1,0,Polygonatum
15,73,VII,272,102.7,100,Pistacia cf. lentiscus,1,0,Pistacia cf. lentiscus
16,73,VII,272,102.7,100,Medicago sp.,1,0,Medicago sp.
17,73,VII,272,102.7,100,Prunus amygdalus,1,0,Prunus amygdalus
18,73,VII,272,102.7,100,Lithospermum arvense,1,0,Lithospermum
19,73,VII,272,102.7,100,Alkanna sp.,6,0,Alkanna sp.
20,73,VII,272,102.7,100,Triticum turgidum ssp. dicoccum,4,0,Tritirum
21,73,VII,272,102.7,100,Hordeum vulgare ssp.,13,0,Hordeum vulgare
22,73,VII,272,102.7,100,spikelet fork,1,0,spikelet fork
23,73,VII,272,102.7,100,glume base indet.,3,0,glume base indet.
24,73,VII,272,102.7,100,Gramineae indet.,0,39,Gramineae indet.
25,74,VII,257,128.8,100,Cruciferae sp.,1,0,Cruciferae sp.
26,74,VII,257,128.8,100,Lens sp.,3,0,Lens sp.
27,74,VII,257,128.8,100,Medicago sp.,7,0,Medicago sp.
28,74,VII,257,128.8,100,Prunus amygdalus,0,1,Prunus amygdalus
29,74,VII,257,128.8,100,Triticum turgidum ssp. dicoccum,6,0,Tritirum
30,74,VII,257,128.8,100,Hordeum vulgare ssp.,9,10,Hordeum vulgare
31,74,VII,257,128.8,100,Gramineae indet.,0,51,Gramineae indet.
32,75,VII,45,106.4,100,Cruciferae sp.,2,0,Cruciferae sp.
33,75,VII,45,106.4,100,Medicago sp.,2,0,Medicago sp.
34,75,VII,45,106.4,100,Prunus amygdalus,0,4,Prunus amygdalus
35,75,VII,45,106.4,100,Lithospermum arvense,1,0,Lithospermum
36,75,VII,45,106.4,100,Triticum turgidum ssp. dicoccum,6,0,Tritirum
37,75,VII,45,106.4,100,Hordeum vulgare ssp.,2,0,Hordeum vulgare
38,75,VII,45,106.4,100,glume base indet.,0,0,glume base indet.
39,75,VII,45,106.4,100,culm node indet.,0,0,culm node
40,75,VII,45,106.4,100,Gramineae indet.,0,36,Gramineae indet.
41,76,VII,129,801.2,39,Lens sp. Prunus amygdalus,2,6,Lens sp. Prunus amygdalus
42,76,VII,129,801.2,39,Lithospermum arvense,1,0,Lithospermum
43,76,VII,129,801.2,39,Triticum turgidum ssp. dicoccum,17,3,Tritirum
44,76,VII,129,801.2,39,Hordeum vulgare ssp.,5,3,Hordeum vulgare
45,76,VII,129,801.2,39,glume base indet.,0,0,glume base indet.
46,76,VII,129,801.2,39,culm node indet.,0,0,culm node
47,76,VII,129,801.2,39,Gramineae indet.,0,44,Gramineae indet.
48,77,VII,62,89.5,100,Vitis vinifera ssp. sylvestris,1,0,Vitis vinifera ssp. sylvestris
49,77,VII,62,89.5,100,Lens sp.,2,0,Lens sp.
50,77,VII,62,89.5,100,Leguminosae,2,0,Leguminosae
51,77,VII,62,89.5,100,Triticum turgidum ssp. dicoccum,2,0,Tritirum
52,77,VII,62,89.5,100,Hordeum vulgare ssp.,2,0,Hordeum vulgare
53,77,VII,62,89.5,100,Gramineae indet.,0,21,Gramineae indet.
54,78,VII,58,73,100,Polygonum sp.,1,0,Polygonatum
55,78,VII,58,73,100,Pistacia cf. lentiscus,0,6,Pistacia cf. lentiscus
56,78,VII,58,73,100,Lens sp.,3,0,Lens sp.
57,78,VII,58,73,100,Lathyrus sp.,1,0,Lathyrus sp.
58,78,VII,58,73,100,Medicago sp.,3,0,Medicago sp.
59,78,VII,58,73,100,Leguminosae,1,0,Leguminosae
60,78,VII,58,73,100,Prunus amygdalus,0,1,Prunus amygdalus
61,78,VII,58,73,100,Lithospermum arvense,4,0,Lithospermum
62,78,VII,58,73,100,Triticum turgidum ssp. dicoccum,4,0,Tritirum
63,78,VII,58,73,100,Hordeum vulgare ssp.,3,1,Hordeum vulgare
64,78,VII,58,73,100,Gramineae indet.,0,42,Gramineae indet.
65,79,VII,54,91.6,100,Cruciferae sp.,1,0,Cruciferae sp.
66,79,VII,54,91.6,100,Lens sp.,5,0,Lens sp.
67,79,VII,54,91.6,100,Medicago sp.,3,0,Medicago sp.
68,79,VII,54,91.6,100,Leguminosae,6,0,Leguminosae
69,79,VII,54,91.6,100,Prunus amygdalus,1,0,Prunus amygdalus
70,79,VII,54,91.6,100,Lithospermum arvense,1,0,Lithospermum
71,79,VII,54,91.6,100,Triticum turgidum ssp. dicoccum,2,0,Tritirum
72,79,VII,54,91.6,100,Hordeum vulgare ssp.,4,3,Hordeum vulgare
