Row,Unit,Zone,Liters,Tot_Flot_g,species,complete,Frags.,species_group
1,59,NA,NA,NA,Leguminosae,2,NA,Leguminosae
2,61,NA,NA,NA,Alkanna sp.,1,NA,Alkanna sp.
3,64,NA,NA,NA,Leguminosae,1,NA,Leguminosae
4,64,NA,NA,NA,Gramineae indet.,1,NA,Gramineae indet.
5,66,NA,NA,NA,Leguminosae,1,NA,Leguminosae
6,66,NA,NA,NA,Gramineae indet.,1,NA,Gramineae indet.
7,67,NA,NA,NA,Leguminosae,1,NA,Leguminosae
8,67,NA,NA,NA,Triticum turgidum ssp. dicoccum,1,NA,Triticum
9,69,NA,NA,NA,Leguminosae,2,NA,Leguminosae
10,69,NA,NA,NA,Triticum turgidum ssp. dicoccum,1,NA,Triticum
11,69,NA,NA,NA,Hordeum vulgare ssp.,1,NA,Hordeum vulgare
12,71,NA,NA,NA,Lithospermum arvense,1,NA,Lithospermum
13,71,NA,NA,NA,Alkanna sp.,1,NA,Alkanna sp.
14,73,VII,272,102.7,Polygonum sp.,1,NA,Polygonum sp.
15,73,VII,272,102.7,Pistacia cf. lentiscus,1,NA,Pistacia cf. lentiscus
16,73,VII,272,102.7,Medicago sp.,1,NA,Medicago sp.
17,73,VII,272,102.7,Prunus amygdalus,1,NA,Prunus amygdalus
18,73,VII,272,102.7,Lithospermum arvense,1,NA,Lithospermum
19,73,VII,272,102.7,Alkanna sp.,6,NA,Alkanna sp.
20,73,VII,272,102.7,Triticum turgidum ssp. dicoccum,4,NA,Triticum
21,73,VII,272,102.7,Hordeum vulgare ssp.,13,NA,Hordeum vulgare
22,73,VII,272,102.7,spikelet fork,1,NA,spikelet fork
23,73,VII,272,102.7,glume base indet.,3,NA,NA
24,73,VII,272,102.7,Gramineae indet.,NA,39,Gramineae indet.
25,74,VII,257,128.8,Cruciferae sp.,1,NA,Cruciferae sp.
26,74,VII,257,128.8,Lens sp.,3,NA,Lens sp.
27,74,VII,257,128.8,Medicago sp.,7,NA,Medicago sp.
28,74,VII,257,128.8,Prunus amygdalus,NA,1,Prunus amygdalus
29,74,VII,257,128.8,Triticum turgidum ssp. dicoccum,6,NA,Triticum
30,74,VII,257,128.8,Hordeum vulgare ssp.,9,10,Hordeum vulgare
31,74,VII,257,128.8,Gramineae indet.,NA,51,Gramineae indet.
32,75,VII,45,106.4,Cruciferae sp.,2,NA,Cruciferae sp.
33,75,VII,45,106.4,Medicago sp.,2,NA,Medicago sp.
34,75,VII,45,106.4,Prunus amygdalus,NA,4,Prunus amygdalus
35,75,VII,45,106.4,Lithospermum arvense,1,NA,Lithospermum
36,75,VII,45,106.4,Triticum turgidum ssp. dicoccum,6,NA,Triticum
37,75,VII,45,106.4,Hordeum vulgare ssp.,2,NA,Hordeum vulgare
38,75,VII,45,106.4,glume base indet.,NA,NA,NA
39,75,VII,45,106.4,culm node indet.,NA,NA,NA
40,75,VII,45,106.4,Gramineae indet.,NA,36,Gramineae indet.
41,76,VII,129,801.2,Lens sp. Prunus amygdalus,2,6,Lens sp.
42,76,VII,129,801.2,Lithospermum arvense,1,NA,Lithospermum
43,76,VII,129,801.2,Triticum turgidum ssp. dicoccum,17,3,Triticum
44,76,VII,129,801.2,Hordeum vulgare ssp.,5,3,Hordeum vulgare
45,76,VII,129,801.2,glume base indet.,NA,NA,NA
46,76,VII,129,801.2,culm node indet.,NA,NA,NA
47,76,VII,129,801.2,Gramineae indet.,NA,44,Gramineae indet.
48,77,VII,62,89.5,Vitis vinifera ssp. sylvestris,1,NA,Vitis vinifera ssp. sylvestris
49,77,VII,62,89.5,Lens sp.,2,NA,Lens sp.
50,77,VII,62,89.5,Leguminosae,2,NA,Leguminosae
51,77,VII,62,89.5,Triticum turgidum ssp. dicoccum,2,NA,Triticum
52,77,VII,62,89.5,Hordeum vulgare ssp.,2,NA,Hordeum vulgare
53,77,VII,62,89.5,Gramineae indet.,NA,21,Gramineae indet.
54,78,VII,58,73,Polygonum sp.,1,NA,Polygonum sp.
55,78,VII,58,73,Pistacia cf. lentiscus,NA,6,Pistacia cf. lentiscus
56,78,VII,58,73,Lens sp.,3,NA,Lens sp.
57,78,VII,58,73,Lathyrus sp.,1,NA,Lathyrus sp.
58,78,VII,58,73,Medicago sp.,3,NA,Medicago sp.
59,78,VII,58,73,Leguminosae,1,NA,Leguminosae
60,78,VII,58,73,Prunus amygdalus,NA,1,Prunus amygdalus
61,78,VII,58,73,Lithospermum arvense,4,NA,Lithospermum
62,78,VII,58,73,Triticum turgidum ssp. dicoccum,4,NA,Triticum
63,78,VII,58,73,Hordeum vulgare ssp.,3,1,Hordeum vulgare
64,78,VII,58,73,Gramineae indet.,NA,42,Gramineae indet.
65,79,VII,54,91.6,Cruciferae sp.,1,NA,Cruciferae sp.
66,79,VII,54,91.6,Lens sp.,5,NA,Lens sp.
67,79,VII,54,91.6,Medicago sp.,3,NA,Medicago sp.
68,79,VII,54,91.6,Leguminosae,6,NA,Leguminosae
69,79,VII,54,91.6,Prunus amygdalus,1,NA,Prunus amygdalus
70,79,VII,54,91.6,Lithospermum arvense,1,NA,Lithospermum
71,79,VII,54,91.6,Triticum turgidum ssp. dicoccum,2,NA,Triticum
72,79,VII,54,91.6,Hordeum vulgare ssp.,4,3,Hordeum vulgare
73,79,VII,54,91.6,Gramineae indet.,NA,34,Gramineae indet.
74,80,VII,30,21.2,Lathyrus sp.,1,NA,Lathyrus sp.
75,80,VII,30,21.2,Triticum turgidum ssp. dicoccum,2,NA,Triticum
76,80,VII,30,21.2,Gramineae indet.,NA,11,Gramineae indet.
77,81,VII,98,411.1,Lens sp.,3,NA,Lens sp.
78,81,VII,98,411.1,Medicago sp.,3,NA,Medicago sp.
79,81,VII,98,411.1,Leguminosae,1,NA,Leguminosae
80,81,VII,98,411.1,Leguminosae,2,NA,Leguminosae
81,81,VII,98,411.1,Prunus amygdalus,NA,3,Prunus amygdalus
82,81,VII,98,411.1,Lithospermum arvense,1,NA,Lithospermum
83,81,VII,98,411.1,Triticum turgidum ssp. dicoccum,7,NA,Triticum
84,81,VII,98,411.1,Hordeum vulgare ssp.,4,4,Hordeum vulgare
85,81,VII,98,411.1,Gramineae indet.,NA,37,Gramineae indet.
86,82,VII,220,222.8,Cruciferae sp.,20,NA,Cruciferae sp.
87,82,VII,220,222.8,Astragalus!frigonella sp.,1,NA,Astragalus frigonella sp.
88,82,VII,220,222.8,Lathyrus sp.,1,NA,Lathyrus sp.
89,82,VII,220,222.8,Lens sp.,2,NA,Lens sp.
90,82,VII,220,222.8,Medicago sp.,455,NA,Medicago sp.
91,82,VII,220,222.8,Leguminosae,2,NA,Leguminosae
92,82,VII,220,222.8,Prunus amygdalus,NA,3,Prunus amygdalus
93,82,VII,220,222.8,Coriandrum sp.,1,NA,Coriandrum sp.
94,82,VII,220,222.8,Lithospermum arvense,27,NA,Lithospermum
95,82,VII,220,222.8,Echium sp.,6,NA,Echium sp.
96,82,VII,220,222.8,Boraginaceae sp.,2,NA,Boraginaceae sp.
97,82,VII,220,222.8,Triticum turgidum ssp. dicoccum,3,1,Triticum
98,82,VII,220,222.8,Hordeum vulgare ssp.,9,NA,Hordeum vulgare
99,82,VII,220,222.8,Gramineae indet.,NA,87,Gramineae indet.
100,82,VII,220,222.8,seed indet.,3,NA,NA
101,83,VII,37,401,Cruciferae sp.,3,NA,Cruciferae sp.
102,83,VII,37,401,Pistacia cf. lentiscus,1,2,Pistacia cf. lentiscus
103,83,VII,37,401,Lens sp.,1,NA,Lens sp.
104,83,VII,37,401,Medicago sp.,44,NA,Medicago sp.
105,83,VII,37,401,Leguminosae,1,NA,Leguminosae
106,83,VII,37,401,Prunus amygdalus,1,NA,Prunus amygdalus
107,83,VII,37,401,Lithospermum arvense,1,NA,Lithospermum
108,83,VII,37,401,Triticum turgidum ssp. dicoccum,1,NA,Triticum
109,83,VII,37,401,Triticum turgidum ssp. dicoccum,4,NA,Triticum
110,83,VII,37,401,Hordeum vulgare ssp.,3,2,Hordeum vulgare
111,83,VII,37,401,Gramineae indet.,NA,47,Gramineae indet.
112,84,VII,43,439.3,Leguminosae,NA,4,Leguminosae
113,84,VII,43,439.3,Prunus amygdalus,1,NA,Prunus amygdalus
114,84,VII,43,439.3,Lithospermum arvense,2,NA,Lithospermum
115,84,VII,43,439.3,Triticum turgidum ssp. dicoccum,1,1,Triticum
116,84,VII,43,439.3,Hordeum vulgare ssp.,3,4,Hordeum vulgare
117,85,VII,56,216.1,Cruciferae sp.,7,NA,Cruciferae sp.
118,85,VII,56,216.1,Vitis vinifera ssp. sylvestris,2,NA,Vitis vinifera ssp. sylvestris
119,85,VII,56,216.1,Pistacia cf. lentiscus,NA,4,Pistacia cf. lentiscus
120,85,VII,56,216.1,Lens sp.,4,NA,Lens sp.
121,85,VII,56,216.1,Lathyrus sp.,3,NA,Lathyrus sp.
122,85,VII,56,216.1,Medicago sp.,104,NA,Medicago sp.
123,85,VII,56,216.1,Leguminosae,1,NA,Leguminosae
124,85,VII,56,216.1,Leguminosae,1,NA,Leguminosae
125,85,VII,56,216.1,Prunus amygdalus,2,NA,Prunus amygdalus
126,85,VII,56,216.1,Lithospermum arvense,2,NA,Lithospermum
127,85,VII,56,216.1,Triticum turgidum ssp. dicoccum,4,NA,Triticum
128,85,VII,56,216.1,Hordeum vulgare ssp.,1,NA,Hordeum vulgare
129,85,VII,56,216.1,glume base indet.,1,NA,NA
130,85,VII,56,216.1,culm node indet.,1,NA,NA
131,85,VII,56,216.1,Gramineae indet.,NA,40,Gramineae indet.
132,85,VII,56,216.1,seed indet.,NA,2,NA
133,86,VII,99,276.3,Pistacia cf. lentiscus,1,26,Pistacia cf. lentiscus
134,86,VII,99,276.3,Lens sp.,3,NA,Lens sp.
135,86,VII,99,276.3,Medicago sp.,4,NA,Medicago sp.
136,86,VII,99,276.3,Leguminosae,1,NA,Leguminosae
137,86,VII,99,276.3,Prunus amygdalus,2,NA,Prunus amygdalus
138,86,VII,99,276.3,Pyrus amygdaliformis,3,NA,Pyrus amygdaliformis
139,86,VII,99,276.3,Triticum turgidum ssp. dicoccum,3,NA,Triticum
140,86,VII,99,276.3,Hordeum vulgare ssp.,10,6,Hordeum vulgare
141,86,VII,99,276.3,spikelet fork,4,NA,spikelet fork
142,86,VII,99,276.3,Gramineae indet.,NA,64,Gramineae indet.
143,87,VII,31,69.6,Pistacia cf. lentiscus,5,NA,Pistacia cf. lentiscus
144,87,VII,31,69.6,Lens sp.,3,NA,Lens sp.
145,87,VII,31,69.6,Medicago sp.,5,NA,Medicago sp.
146,87,VII,31,69.6,Prunus amygdalus,3,NA,Prunus amygdalus
147,87,VII,31,69.6,Pyrus amygdaliformis,NA,3,Pyrus amygdaliformis
148,87,VII,31,69.6,Lithospermum arvense,3,NA,Lithospermum
149,87,VII,31,69.6,Echium sp.,1,NA,Echium sp.
150,87,VII,31,69.6,Hordeum vulgare ssp.,1,3,Hordeum vulgare
151,87,VII,31,69.6,spikelet fork,NA,NA,spikelet fork
152,87,VII,31,69.6,Gramineae indet.,NA,20,Gramineae indet.
153,88,VII,14,61.5,Pistacia cf. lentiscus,2,6,Pistacia cf. lentiscus
154,88,VII,14,61.5,Medicago sp.,10,NA,Medicago sp.
155,88,VII,14,61.5,Lithospermum arvense,1,NA,Lithospermum
156,88,VII,14,61.5,Triticum turgidum ssp. dicoccum,3,NA,Triticum
157,88,VII,14,61.5,Hordeum vulgare ssp.,3,1,Hordeum vulgare
158,88,VII,14,61.5,Hordeum vulgare ssp. Distichum rachis,1,NA,Hordeum vulgare
159,88,VII,14,61.5,culm node indet.,1,NA,NA
160,88,VII,14,61.5,Gramineae indet.,NA,19,Gramineae indet.
161,89,VII,183,464.8,Pistacia cf. lentiscus,2,NA,Pistacia cf. lentiscus
162,89,VII,183,464.8,Lens sp.,6,NA,Lens sp.
163,89,VII,183,464.8,Lathyrus sp.,3,NA,Lathyrus sp.
164,89,VII,183,464.8,Medicago sp.,8,NA,Medicago sp.
165,89,VII,183,464.8,Prunus amygdalus,5,NA,Prunus amygdalus
166,89,VII,183,464.8,Lithospermum arvense,1,NA,Lithospermum
167,89,VII,183,464.8,Triticum turgidum ssp. dicoccum,9,NA,Triticum
168,89,VII,183,464.8,Hordeum vulgare ssp.,5,3,Hordeum vulgare
169,89,VII,183,464.8,spikelet fork,2,NA,spikelet fork
170,89,VII,183,464.8,Gramineae indet.,NA,62,Gramineae indet.
171,90,VII,86,937.9,Lens sp.,2,NA,Lens sp.
172,90,VII,86,937.9,Medicago sp.,9,NA,Medicago sp.
173,90,VII,86,937.9,Leguminosae,3,NA,Leguminosae
174,90,VII,86,937.9,Prunus amygdalus,4,NA,Prunus amygdalus
175,90,VII,86,937.9,Lithospermum arvense,4,NA,Lithospermum
176,90,VII,86,937.9,Triticum turgidum ssp. dicoccum,5,1,Triticum
177,90,VII,86,937.9,Hordeum vulgare ssp.,7,6,Hordeum vulgare
178,90,VII,86,937.9,glume base indet.,3,NA,NA
179,90,VII,86,937.9,Gramineae indet.,NA,42,Gramineae indet.
180,91,VII,60,862,Cruciferae sp.,NA,NA,Cruciferae sp.
181,91,VII,60,862,Pistacia cf. lentiscus,NA,3,Pistacia cf. lentiscus
182,91,VII,60,862,Lens sp.,1,NA,Lens sp.
183,91,VII,60,862,Medicago sp.,4,NA,Medicago sp.
184,91,VII,60,862,Prunus amygdalus,2,NA,Prunus amygdalus
185,91,VII,60,862,Triticum monococcum,3,NA,Triticum
186,91,VII,60,862,Triticum monococcum,2,NA,Triticum
187,91,VII,60,862,Triticum turgidum ssp. dicoccum,12,2,Triticum
188,91,VII,60,862,Triticum turgidum ssp. dicoccum,4,NA,Triticum
189,91,VII,60,862,NA,9,14,NA
190,91,VII,60,862,Hordeum vulgare ssp. Distichum rachis,1,NA,Hordeum vulgare
191,91,VII,60,862,spikelet fork,3,NA,spikelet fork
192,91,VII,60,862,glume base indet.,8,NA,NA
193,91,VII,60,862,Gramineae indet.,NA,62,Gramineae indet.
194,91,VII,60,862,seed indet.,NA,2,NA
195,92,VII,7,80.5,Pistacia cf. lentiscus,NA,2,Pistacia cf. lentiscus
196,92,VII,7,80.5,Prunus amygdalus,1,NA,Prunus amygdalus
197,92,VII,7,80.5,Lithospermum arvense,1,NA,Lithospermum
198,92,VII,7,80.5,Hordeum vulgare ssp.,2,5,Hordeum vulgare
199,92,VII,7,80.5,Hordeum vulgare ssp. Distichum rachis,1,NA,Hordeum vulgare
200,92,VII,7,80.5,culm node indet.,NA,NA,NA
201,92,VII,7,80.5,Gramineae indet.,NA,11,Gramineae indet.
202,92,VII,7,80.5,seed indet.,NA,1,NA
203,93,VII,109,345.2,Pistacia cf. lentiscus,NA,2,Pistacia cf. lentiscus
204,93,VII,109,345.2,Lens sp.,2,NA,Lens sp.
205,93,VII,109,345.2,Medicago sp.,7,NA,Medicago sp.
206,93,VII,109,345.2,Prunus amygdalus,1,NA,Prunus amygdalus
207,93,VII,109,345.2,Triticum turgidum ssp. dicoccum,2,NA,Triticum
208,93,VII,109,345.2,Gramineae indet.,NA,36,Gramineae indet.
209,94,VII,89,176.3,Cruciferae sp.,NA,NA,Cruciferae sp.
