Unit,Zone,Liters,Tot_Flot_g,species,complete,percent,Frags.,
120,VII,266,92.6,Lens sp.,2,6,,
120,VII,266,92.6,medium Leguminosae,,,1,
120,VII,266,92.6,Prunus amygdalus,3,9,,
120,VII,266,92.6,Lithospennum arvense,3,9,,
120,VII,266,92.6,Alkanna sp.,2,6,,
120,VII,266,92.6,Triticum turgidum ssp. Dicoccum,4,12,,
120,VII,266,92.6,T. monococum,,,1,
120,VII,266,92.6,Hordeum vulgare ssp. Distichum,19,56,,
120,VII,266,92.6,glume base indet.,1,3,,
121,VII,266,129.7,Cruciferae sp.- seed,1,3,,
121,VII,266,129.7,Pistacia cf. lentiscus,,,4,
121,VII,266,129.7,Lens sp.,3,10,,
121,VII,266,129.7,medium Leguminosae,,,2,
121,VII,266,129.7,Prunus amygdalus,3,10,,
121,VII,266,129.7,Lithospermum arvense,6,20,,
121,VII,266,129.7,Triticum turgidum ssp. Dicoccum,12,40,4,
121,VII,266,129.7,T. monococcum,,,2,
121,VII,266,129.7,Hordeum vulgare ssp. Distichum,4,13,10,
121,VII,266,129.7,spikelet fork indet.,1,3,,
121,VII,266,129.7,Gramineae indet.,,,4,
121,VII,266,129.7,seed indet.,1,,,
122,VII,299,149.9,Cruciferae sp.-seed,1,0.7,,
122,VII,299,149.9,Lens sp.,1,0.7,,
122,VII,299,149.9,large Lathyrus sp.,1,0.7,,
122,VII,299,149.9,Prunus amygdalus,7,5,,
122,VII,299,149.9,Lithospermum arvense,19,13,,
122,VII,299,149.9,Alkanna sp.,2,1,,
122,VII,299,149.9,Triticum monococcum,19,13,1,
122,VII,299,149.9,Triticum monococcum,4,3,,
122,VII,299,149.9,Triticum turgidum ssp. Dicoccum,21,15,3,
122,VII,299,149.9,Triticum turgidum ssp. Dicoccum,41,29,,
122,VII,299,149.9,Triticum turgidum ssp. Dicoccum,3,2,,
122,VII,299,149.9,Hordeum vulgare ssp. Distichum,8,5,20,
122,VII,299,149.9,spikelet forks indet.,6,4,,
122,VII,299,149.9,glume bases indet.,7,5,,
122,VII,299,149.9,rachis frag. indet.,1,0.7,,
122,VII,299,149.9,Gramineae indet.,,,5,
123,VII,202,180.4,Vicia/Lathyrus,1,3,,
123,VII,202,180.4,small Lathyrus sp.,1,3,,
123,VII,202,180.4,medium Leguminosae,1,3,,
123,VII,202,180.4,Prunus amygdalus,13,43,,
123,VII,202,180.4,Lithospermum arvense,3,10,,
123,VII,202,180.4,Triticum turgidum ssp. Dicoccum,5,17,2,
123,VII,202,180.4,Hordeum vulgare ssp. Distichum,3,10,6,
123,VII,202,180.4,spikelet forks indet.,3,10,,
123,VII,202,180.4,indet.,,,1,
124,VII,29,255.6,Lens sp.,1,5,,
124,VII,29,255.6,Prunus amygdalus,10,53,,
124,VII,29,255.6,Lithospermum arvense,3,16,, 
124,VII,29,255.6,Triticum turgidum ssp. Dicoccum,5,26,,
124,VII,29,255.6,seed indet.,,,1,
125,VII,79,44.3,Prunus amygdalus,6,40,,
125,VII,79,44.3,Lithospermum arvense,1,7,,
125,VII,79,44.3,Alkanna sp.,1,7,,
125,VII,79,44.3,Triticum turgidum ssp. Dicoccum,4,27,,
125,VII,79,44.3,Triticum turgidum ssp. Dicoccum,1,7,,
125,VII,79,44.3,spikelet forks indet.,2,13,,
126,VII,29,83.5,small Lathyrus sp.,1,3,,
126,VII,29,83.5,Prunus amygdalus,11,38,,
126,VII,29,83.5,Lithospermum arvense,6,21,,
126,VII,29,83.5,Triticum turgidum ssp. Dicoccum,3,10,,
126,VII,29,83.5,Hordeum vulgare ssp. Distichum,6,21,,
126,VII,29,83.5,Hordeum vulgare ssp. Distichum,2,7,,
126,VII,29,83.5,Gramineae indet.,,,5,
127,VII,227,1177.6,Vtcia/Lathyrus sp. no. 1,2,5,,
127,VII,227,1177.6,Lens sp.,2,5,,
127,VII,227,1177.6,small Lathyrus sp.,1,2,,
127,VII,227,1177.6,medium Legurninosae,6,14,,
127,VII,227,1177.6,large Leguminosae,1,2,,
127,VII,227,1177.6,Prunus amygdalus,10,24,,
127,VII,227,1177.6,Lithospermum arvense,4,9,,
127,VII,227,1177.6,Triticum turgidum ssp. Dicoccum,2,5,1,
127,VII,227,1177.6,Triticum turgidum ssp. Dicoccum,13,31,,
127,VII,227,1177.6,Hordeum vulgare ssp. Distichum,1,2,4,
127,VII,227,1177.6,Gramineae indet.,,,7,
127,VII,227,1177.6,indet.,,,1,
128,VII,63,107.1,Cruciferae sp.-seeds,5,10,,
128,VII,63,107.1,Pistacia cf. lentiscus,5,10,,
128,VII,63,107.1,VJCia/Lathyrus sp. no. 2,1,2,,
128,VII,63,107.1,Medicago sp.,3,6,,
128,VII,63,107.1,medium Leguminosae,1,2,,
128,VII,63,107.1,Prunus amygdalus,12,23,,
128,VII,63,107.1,Lithospermum arvense,3,6,,
128,VII,63,107.1,Triticum turgidum ssp. Dicoccum,14,27,,
128,VII,63,107.1,Hordeum vulgare ssp. Distichum,2,4,,
128,VII,63,107.1,spikelet forks indet.,4,8,,
128,VII,63,107.1,glume base indet.,2,4,,
129,VII,266,795.2,Cruciferae sp.-seeds,7,6,,
129,VII,266,795.2,Cruciferae sp.-capsules,3,3,,
129,VII,266,795.2,Pistacia cf. lentiscus,1,0.9,,
129,VII,266,795.2,Vicia/Lathyrus sp. no. 1,5,5,,
129,VII,266,795.2,Lens sp.,11,10,,
129,VII,266,795.2,small Lathyrus sp.,1,0.9,,
129,VII,266,795.2,Medicago sp.,8,7,,
129,VII,266,795.2,small Leguminosae,1,0.9,,
129,VII,266,795.2,medium Leguminosae,3,3,,
129,VII,266,795.2,Prunus amygdalus,14,13,,
129,VII,266,795.2,Pyrus amygdaliformis,1,0.9,,
129,VII,266,795.2,Lithospermum arvense,5,5,,
129,VII,266,795.2,Alkanna sp.,1,0.9,,
129,VII,266,795.2,Teucrium sp.,1,0.9,,
129,VII,266,795.2,Triticum monococcum,3,3,,
129,VII,266,795.2,Triticum turgidum ssp. Dicoccum,31,28,1,
129,VII,266,795.2,Triticum turgidum ssp. Dicoccum,2,2,,
129,VII,266,795.2,Hordeum vulgare ssp. Distichum,5,5,13,
129,VII,266,795.2,spikelet forks indet.,4,4,,
129,VII,266,795.2,glume bases indet.,2,2,,
130,VII,80,67,Cruciferae sp.-seeds,3,15,,
130,VII,80,67,sp. no. 1,2,10,,
130,VII,80,67,Medicago sp.,4,20,,
130,VII,80,67,Prunus amygdalus,3,15,,
130,VII,80,67,Lithospermum arvense,2,10,,
130,VII,80,67,Teucrium sp.,1,5,,
130,VII,80,67,Triticum turgidum ssp. Dicoccum,1,5,,
130,VII,80,67,Hordeum vulgare ssp. Distichum,2,10,,
130,VII,80,67,spikelet forks indet.,2,10,,
131,VIIb,465,227.3,Cruciferae sp.-seeds,4,4,,
131,VIIb,465,227.3,Pistacia cf. lentiscus,,,5,
131,VIIb,465,227.3,Lens sp.,2,2,,
131,VIIb,465,227.3,small Lathyrus sp.,4,4,,
131,VIIb,465,227.3,Medicago sp.,13,14,,
131,VIIb,465,227.3,medium Leguminosae,9,10,,
131,VIIb,465,227.3,large Leguminosae,5,5,,
131,VIIb,465,227.3,Prunus amygdalus,18,20,,
131,VIIb,465,227.3,Lithospermum arvense,11,12,,
131,VIIb,465,227.3,Triticum monococcum,1,1,,
131,VIIb,465,227.3,T. monococcum,1,1,,
