NISP,Crab Indet,Pices Indet.,Sea bream Indet,Sparus sp.,Diplodus sp.,Pagrus sp.,Dicentrarchus labrax,Thunnus thynnus,Small Bird,Medium Bird,Chiroptera,Rodent,Erinaceus europaeus,Lepus europaeus,Sm Mammal,Med Mammal,Equid sp.,Cervidae,Cervus elaphus,Bos taurus,Sus scrofus,Capra hircus,Capra/Ovis,Ovis aries,Small Ungulate,Med Ungulate,Large Ungulate,Huge Ungulate,Small Carnivore,Felis sp.,Lynx lynx,Vulpes vulpes,Canis familaris,Meles meles
59,,1,,,,1,,,,,,,,,,,,,17,,1,,5,2,,,1,,,,,,1,
60,,,,,,,,,,,,,,3,,,,,7,1,7,,8,,8,2,8,,,,,,,
61,,1,,,,1,,,,,,,,,5,,,1,4,1,2,,20,,,,8,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,1,,2,,1,,1,,,,,,,
63,,,,,,,,,,,,,,1,2,,,,2,1,,,18,,,2,,,,,,,,
64,,2,,1,,,,,,,,,,1,,,,,1,5,1,,13,1,9,2,7,2,,,,,1,
65,,,,,,,,,,,,,,,,,,,,,1,,7,,,3,,,,,,,,
66,,1,,,,,,,,,,,,1,,,,,3,3,3,1,44,2,,,5,1,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
68,,,,,,,,,,,,,,,2,,,,,1,,,6,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,3,7,15,6,5,5,6,,,,,,,
70,,,,,,,,,,,,,,,,,,,,2,,,16,1,,,2,,,,,,,
71,,,,,,,,,,,,,,,,,,,1,1,,,2,,,,1,,,,,,,
72,,,,,,,,,,,,,,,,,,,1,,,,4,,,,,,,,,,,
73,,,,,,,,,,,,,,3,,,,,1,,1,1,19,,7,7,,1,,,,,1,
74,,,,,,,,,,,,,,,,1,,,,1,,,15,,,,,,,,,,1,
75,,,,,,,,,,,,,1,,,,,,,2,1,,6,,3,1,,,,,,,,
76,,,,1,,,,,,,,,,,,,,,,,1,,6,,4,2,2,1,,,,,,
77,,3,,,,,,,,,,,,2,,,,,,,,9,22,7,,,,,,,,,1,
78,,,,,,,,,,,,,,,1,,,,1,,,,7,,6,2,,,,,,,,
79,,,,,,,,1,,,,,,,,,,,,,5,,4,1,5,1,2,,,,,1,,
80,,,,,,,,,,,,,,,3,,,,3,,4,,19,,,,,,,,,,1,
81,,,,,,,,1,,,,,,,,,,,1,1,1,,9,1,6,1,1,,,,,,,
82,,,,,,,,1,,,,,,,,,,,1,,,,17,,,1,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,3,,2,1,5,3,,,,,,,,
84,,2,,1,,,,,,,,,,3,,,,,1,,1,,23,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,
