NISP,Testudo sp.,Pices Indet.,Sparidae,Sparus aurata,Diplodus sp.,Pagrus sp.,Dicentrarchus labrax,Thunnus thynnus,Conger conger,Small Bird,Pigeons and Doves,Erinaceus europaeus,Lepus europaeus,Small Mammal ,Med Mammal,Cervidae,Cervus elaphus,Bos taurus,Sus scrofus,Capra hircus,Capra/Ovis,Ovis aries,Small Ungulate,Med Ungulate,Large Ungulate,Huge Ungulate,Small Carnivore,Felis sp.,Canis familaris,Vulpes vulpes
59,,7,,,,,,,,,,,,,1,,1,,2,1,11,4,1,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,
61,,2,,1,1,,,,,,,1,2,2,1,,2,1,4,,23,,,1,,,,,,
62,,,,,,,,,,,,,1,1,,,,,,,5,,,,,,,,,
63,,4,,,,,,,,,,1,,1,,,2,,,,2,,,1,3,,,,,
64,,,,,,,,,,,,,,,,,3,,,,6,,,,1,,,,,
65,,,,,,,,,,,,1,,,,,,,1,,1,,,,1,,,,,
66,,4,,,,,,,,,,,1,,,,1,,4,1,3,,,2,2,,,,2,
67,,,,,1,,,2,,,,,2,1,,,2,,5,,16,1,,2,9,2,,,3,
68,,3,,,1,,,,,,,,,,,,1,4,3,,12,3,,1,,,,,,
69,,6,,,,,1,,,,,,9,1,,,5,,7,,23,2,,7,2,2,,,,
70,,1,,,1,,,,,,,2,3,,,1,5,3,4,,24,2,13,8,7,2,,,1,
71,,1,,,,,,,,,,,1,,,,2,2,11,,19,6,10,3,4,,,,1,
72,,,,,,,,,,,,3,3,,,,4,,1,,15,1,9,1,3,,,,2,
73,,5,,1,,,,1,,,,,,,,,5,,10,,37,4,,10,2,,,,,
74,,1,,,2,,,,,,,,1,1,,,1,1,14,,54,14,1,8,2,,,1,1,1
75,,1,1,,,,,,,,,1,,,,,,1,1,,23,,,1,,,1,,,1
76,,17,,3,2,,1,1,,,,,5,2,,,8,,20,6,130,3,23,9,11,1,,,,1
